7
14
1,8,1136093,2944709,637404,2288308,2429898,3193001,1230194,25228,49826,2053,164560,58617
49,9,389001,1164811,293963,910250,937525,1724211,62238,4143,12214,274,23963,21863
7,12,107642,453999,71786,299696,333731,225900,306776,1429,23177,288,62742,13115
42,9,1494733,3974381,836905,3074973,3231046,4792713,1043075,17305,89165,2671,280474,89455
22,11,2299116,6187068,1388405,4844457,5030132,7548923,1385392,55256,248278,2331,446797,187612
47,9,1573981,4286057,807388,3323363,3344063,4877851,230283,88461,468830,37449,730679,270784
3,7,1607099,3757520,803062,3069993,3097688,3663033,216427,254948,154789,9761,1771588,130004
33,13,661605,1747631,380900,1405434,1384702,1457777,226433,24294,214316,16531,767050,83735
33,10,663180,1712701,327349,1364830,1338400,1464610,210013,23685,194098,15652,718994,76178
35,14,2638304,7156690,1799169,5674772,5919391,9288260,1426459,21989,229761,3832,403190,220672
40,7,1063667,2806729,573714,2163751,2280359,2879728,1248381,16115,52938,2139,195173,55536
42,7,1484351,3899193,792183,3014165,3161562,4731601,1023926,16257,83524,2410,246723,78493
42,12,1492689,4043811,918414,3149097,3305817,4847851,1079389,16953,100440,3162,312494,94625
25,12,742941,1839490,404019,1451645,1534805,1722911,1105758,14307,27811,970,85105,29588
13,8,421648,928434,184238,768749,765571,1300186,10776,17013,17846,1611,162086,29649
29,12,462673,1135261,257416,922123,933227,1509116,84414,15187,35789,1083,180142,29619
17,8,1020960,2707979,560939,2105293,2184585,3732475,326253,10750,46213,1549,118978,57985
34,13,4239976,12578670,2832481,9536193,10114934,11233527,2862023,57471,1573328,8376,3606786,309616
37,9,865573,2419576,523451,1885268,1923332,3008194,66456,42429,137720,12114,438536,121553
50,7,128603,341406,64867,272306,262570,464979,5451,10992,4019,255,42191,7925
7,11,103906,445768,69950,293199,326425,218984,304619,1347,22210,267,59640,12557
45,8,1840282,5062953,930261,3846139,3987357,5162610,1503003,22207,410022,5199,577907,173297
35,13,2649830,7168681,1752297,5659659,5911149,9310848,1414464,21829,216606,3700,389271,214090
16,13,724092,1764802,405063,1441948,1452009,2232188,169331,23569,75069,2218,323560,68022
39,13,213987,674710,162814,509427,542084,791859,58130,4461,33762,646,142853,19800
33,11,659236,1719196,339519,1371244,1346707,1456084,213121,23765,199297,15824,731848,78012
24,14,1392623,3738751,932215,2974222,3089367,4858040,702267,25575,113812,7050,240222,116623
1,9,1135039,2975745,647154,2310120,2447818,3204282,1237794,26099,52968,2005,177294,63317
5,10,1226619,3267075,554502,2532006,2516190,3539018,191556,31745,138144,5795,1044395,97543
49,11,385283,1169104,300797,914993,940191,1725621,63240,3576,13125,426,23687,25509
31,10,2062013,5549998,1190696,4285652,4517055,5231756,1136632,12731,738286,2464,1565365,115473
3,12,1617149,3962482,971518,3257757,3293392,3740077,256716,265636,188236,11622,1970100,118762
46,8,132466,403982,87703,307668,316483,591441,5914,2061,7391,113,9402,8235
36,7,904237,2248552,481560,1796697,1837652,2555284,267817,291728,60756,3936,287504,180341
16,9,721426,1739246,372032,1404813,1427891,2227515,164910,22789,67412,1959,288892,68590
43,10,6879014,15744649,2621515,12525628,12719550,11447313,2911706,81627,971132,18622,9515860,298918
10,9,2485696,6128419,1006731,4703846,4917000,5423520,2887891,23674,308804,5106,832027,165298
6,11,805109,2268463,515376,1748866,1840082,2540861,343986,7348,143071,1228,497603,54851
38,11,2761343,8001208,1978759,6214864,6526446,10078659,1344462,17505,365838,3046,755351,176449
17,7,1016887,2691500,548285,2092237,2164435,3715008,323118,10539,44347,1630,111394,54265
37,8,865892,2394662,508194,1865159,1903589,2994480,65070,41940,134544,11422,423103,115077
35,10,2722589,7196235,1626611,5636961,5908474,9374190,1396406,21189,195639,3549,357008,197454
24,10,1424042,3730874,841147,2936921,3059142,4859115,690275,24239,99122,5892,213990,103430
6,12,794959,2264525,532281,1750881,1840884,2520911,346422,7455,147654,1259,512027,56037
32,11,516513,1279636,281770,1027855,1050064,835636,36885,177224,27735,1344,970314,28781
42,13,1491577,4052025,952376,3167094,3328884,4865333,1088867,17203,103774,3222,319737,97842
30,8,295896,848708,171302,649455,666451,1221167,13533,2789,27103,381,35731,16709
8,9,206106,558874,126750,432023,459707,587556,185210,2827,28255,293,70895,19292
10,7,2455250,5957865,936873,4572920,4777068,5385723,2778553,22865,280701,4683,752650,144612
41,8,198958,486019,114147,400009,399115,683267,10755,64588,7290,197,21876,11950
46,14,121586,398777,106199,308849,317713,586013,7139,1998,9591,183,11110,10528
32,9,516064,1254678,266060,1005337,1031465,836116,36489,174236,26278,1639,933402,43913
25,11,747742,1841417,388727,1446538,1531348,1722859,1100478,14073,27052,948,84121,28355
14,9,3138534,8065647,1592597,778845,775594,1310398,11210,17036,18835,1765,169436,31086
28,7,146898,410735,95189,328387,324435,586236,7422,32514,6014,215,13256,7646
18,9,1116056,2826760,548832,2196713,2294935,2728031,1429485,27871,69045,2013,185711,56835
26,11,222977,623535,151088,500635,496965,872929,4659,60657,6667,644,30569,21475
45,9,1845996,5124649,955292,3889161,4036776,5181283,1515578,24049,426334,5053,609593,187248
25,10,754111,1834225,381711,1441796,1528251,1723784,1096177,13928,26033,968,82088,27069
26,14,225024,627400,171155,514123,509456,887707,5563,62399,7867,736,35362,23945
16,11,726787,1761233,381528,1424758,1444790,2234088,165632,23131,70389,1983,309495,64830
39,8,230124,674992,149887,509370,545633,822074,55987,4549,29846,686,124556,22345
32,14,501949,1264768,318855,1032882,1052690,811400,38598,179298,29957,1486,994151,30682
22,12,2269365,6170571,1442583,4850801,5031718,7534469,1384192,55641,256837,2376,456919,192085
15,14,1581927,4073484,941444,3249444,3347411,5297365,609808,15039,129318,2247,432305,110773
15,12,1589655,4059018,889109,3218520,3319262,5294604,596641,14631,114853,2073,411488,103492
21,11,268737,843068,216039,649751,678093,1252383,16298,8308,13972,328,17789,18766
